#None        2.888   0.164    5.389   0.491    7.87    0.586   28.675   0.870    55.182    2.641
#CoBlitz     5.392   0.364   10.966   1.086   18.990   5.104   88.364  22.704   248.624   62.563
#Hypercache  3.075   0.465    6.516   0.543   11.247   0.186   39.2382  3.750    77.538    2.977

"1 MB"   2.888 0.164 5.392 0.364 3.075 0.465
"5 MB"   5.389 0.491 10.966 1.086 6.516 0.543
"10 MB"  7.87 0.586 18.990 5.104 11.247 0.186
"50 MB"  28.675 0.870 88.364 22.704 39.2382 3.750
"100 MB" 55.182 2.641 248.624 62.563 77.538 2.977
